City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Jalu,LY,84.4,clear sky,29.0331,21.5482,صاحبة الفخامة
12,Hithadhoo,MV,83.84,broken clouds,-0.6,73.0833,Scoop Guest House
13,Bengkulu,ID,83.05,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
14,Sheregesh,RU,76.91,overcast clouds,52.9209,87.9869,Akvilon Hotel
19,Thinadhoo,MV,83.97,scattered clouds,0.5333,72.9333,
21,Mgandu,TZ,76.6,clear sky,-5.95,34.1333,
26,Bechem,GH,75.97,overcast clouds,7.0903,-2.025,Orange Hotel
31,Japura,ID,88.92,broken clouds,-0.3167,102.35,Rumah mbah Jamah
37,Kralendijk,BQ,80.58,scattered clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
41,Alice Town,BS,83.17,scattered clouds,25.7167,-79.3,Bimini Big Game Club Resort & Marina
42,Waddan,LY,82.2,clear sky,29.1614,16.139,محل الشريف محمد العايب
46,Souillac,MU,79.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
58,Sao Filipe,CV,75.02,overcast clouds,14.8961,-24.4956,Hotel Xaguate
61,Masallatah,LY,78.03,clear sky,32.6167,14.0,Mustafa Taher Sowaidan
65,Sarh,TD,85.98,overcast clouds,9.1429,18.3923,Domicile 1sur le goudron
66,Bambous Virieux,MU,79.05,scattered clouds,-20.3428,57.7575,Casa Tia Villa
70,Mahebourg,MU,79.09,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
73,Dese,ET,78.17,overcast clouds,11.1333,39.6333,Joamla Hotel
78,Hamilton,US,77.25,mist,39.1834,-84.5333,Six Acres Bed & Breakfast
79,Kalmunai,LK,88.52,overcast clouds,7.4167,81.8167,VS Villa
81,Saint-Philippe,RE,80.19,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
85,Maxixe,MZ,76.59,clear sky,-23.8597,35.3472,Oceano
89,Bereda,ES,76.96,broken clouds,43.2686,-7.5406,Pazo de Verdes
92,Saint-Georges,GD,80.28,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
98,Torrelodones,ES,85.24,clear sky,40.5765,-3.9266,Los Peñascales
99,Dangriga,BZ,80.33,overcast clouds,16.9692,-88.2321,Chaleanor Hotel
100,Quelimane,MZ,77.22,few clouds,-17.8786,36.8883,Hotel Flamingo
102,Saint-Leu,RE,79.66,broken clouds,-21.15,55.2833,La Caz Oceane
104,Takoradi,GH,81.73,broken clouds,4.8845,-1.7554,Raybow International Hotel
106,Xai-Xai,MZ,76.03,clear sky,-25.0519,33.6442,Complexo da Familia
107,Owando,CG,84.69,overcast clouds,-0.4819,15.8999,Exaunel Hotel Owando
118,Bonthe,SL,79.5,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
121,Dinguiraye,GN,79.12,clear sky,11.3,-10.7167,
124,Bauchi,NG,83.8,overcast clouds,10.5,10.0,
125,Pyatnitskoye,RU,78.1,few clouds,50.4233,37.8273,
128,The Valley,AI,80.1,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
129,Oistins,BB,80.69,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
131,Altay,CN,82.29,overcast clouds,47.8667,88.1167,Jinqiao Hotel
134,Conakry,GN,77.07,light rain,9.538,-13.6773,Riviera Royal Hotel
135,Kaabong,UG,77.2,clear sky,3.4836,34.1492,Madona Guest House Kaabong
149,Bandar-E Anzali,IR,82.51,clear sky,37.4727,49.4622,هتل بیاچ
150,Georgetown,MY,87.73,thunderstorm,5.4112,100.3354,Cititel Penang
154,Luangwa,ZM,78.62,clear sky,-15.6167,30.4167,Gerasimos Safari Lodge
157,Abu Samrah,SY,83.14,clear sky,35.3029,37.1841,
159,Mikumi,TZ,81.21,clear sky,-7.4041,36.9831,Morio Motel and Campsite
160,Gat,IL,85.78,clear sky,31.61,34.7642,OlusHome
161,Muros,ES,80.69,clear sky,42.7762,-9.0603,Apartment Av. Castelao
164,West Bay,KY,82.0,overcast clouds,19.3667,-81.4167,Calypso Cove
165,Hoima,UG,84.63,broken clouds,1.4356,31.3436,Tik Hotel
167,Boysun,UZ,87.93,clear sky,38.2061,67.1986,Gaza Hotel
168,Dunmore Town,BS,80.33,clear sky,25.5,-76.65,Coral Sands Hotel
178,Virginia Beach,US,80.64,overcast clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
181,Wajir,KE,82.36,broken clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
182,Oussouye,SN,80.78,overcast clouds,12.485,-16.5469,Auberge du Routard
195,Inhambane,MZ,76.26,clear sky,-23.865,35.3833,Oceano
196,Buchanan,LR,80.71,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
197,Kindu,CD,86.7,broken clouds,-2.95,25.95,Résidence Okanda
198,Padang,ID,84.25,light rain,-0.9492,100.3543,Mercure Padang
200,Suruc,TR,84.36,clear sky,36.9761,38.425,PEHLİVANKESMESİ KÖYÜ
206,Mezhdurechensk,RU,82.74,broken clouds,53.6942,88.0603,Apartments Mezhdurechensk
207,Sayyan,YE,80.49,overcast clouds,15.1718,44.3244,ملاطف ابوحورية
209,Atasu,KZ,78.33,clear sky,48.6814,71.6433,Dostyk
212,Bayir,TR,84.72,few clouds,37.2687,28.2167,Hotel Babadag
216,Bud,US,81.36,overcast clouds,39.447,-86.1758,Ted McQuinn Trust
217,Mao,ES,84.76,clear sky,39.8885,4.2658,ARTIEM Capri
225,Aksay,RU,84.42,overcast clouds,47.26,39.87,Chernaya Zhemchuzhina
227,Mattru,SL,75.9,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
