City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,East London,ZA,-33.0153,27.9116,70.74,46,0,9.22,clear sky
1,Jamestown,US,42.097,-79.2353,63.01,55,100,3.0,overcast clouds
2,Hermanus,ZA,-34.4187,19.2345,55.8,80,100,16.08,moderate rain
3,Rio Grande,BR,-32.035,-52.0986,44.94,92,2,5.91,clear sky
4,Torbay,CA,47.6666,-52.7314,43.29,95,100,8.05,fog
5,Jalu,LY,29.0331,21.5482,84.4,34,0,9.24,clear sky
6,Taoudenni,ML,22.6783,-3.9836,101.5,8,5,10.45,clear sky
7,Tasiilaq,GL,65.6145,-37.6368,35.26,97,100,22.15,snow
8,Muisne,EC,0.6,-80.0333,74.95,88,100,7.67,light rain
9,Punta Arenas,CL,-53.15,-70.9167,33.91,93,0,8.05,clear sky
10,Ushuaia,AR,-54.8,-68.3,40.66,75,20,13.8,few clouds
11,Yarmouth,US,41.7057,-70.2286,64.87,94,0,4.61,clear sky
12,Hithadhoo,MV,-0.6,73.0833,83.84,69,75,6.22,broken clouds
13,Bengkulu,ID,-3.8004,102.2655,83.05,67,16,5.08,few clouds
14,Sheregesh,RU,52.9209,87.9869,76.91,50,97,3.76,overcast clouds
15,Hualmay,PE,-11.0964,-77.6139,61.07,84,58,8.32,broken clouds
16,Grindavik,IS,63.8424,-22.4338,48.15,81,75,14.97,broken clouds
17,Castro,BR,-24.7911,-50.0119,38.97,99,26,3.91,scattered clouds
18,Tromso,NO,69.6496,18.957,53.38,81,75,11.5,broken clouds
19,Thinadhoo,MV,0.5333,72.9333,83.97,71,29,5.88,scattered clouds
20,Dikson,RU,73.5069,80.5464,34.03,82,50,10.78,scattered clouds
21,Mgandu,TZ,-5.95,34.1333,76.6,33,4,6.98,clear sky
22,Kentau,KZ,43.5206,68.5094,92.66,14,44,4.83,scattered clouds
23,Saint George,US,37.1041,-113.5841,72.19,26,0,13.8,clear sky
24,Krasnoselkup,RU,65.7,82.4667,70.7,59,99,4.07,overcast clouds
25,Bredasdorp,ZA,-34.5322,20.0403,57.22,73,100,15.52,light rain
26,Bechem,GH,7.0903,-2.025,75.97,80,98,4.63,overcast clouds
27,Arraial Do Cabo,BR,-22.9661,-42.0278,68.65,71,99,13.0,overcast clouds
28,Longyearbyen,SJ,78.2186,15.6401,40.84,65,75,11.5,broken clouds
29,San Carlos Del Zulia,VE,9.0,-71.9135,72.19,94,60,3.91,broken clouds
30,Illapel,CL,-31.6308,-71.1653,49.24,87,100,0.83,overcast clouds
31,Japura,ID,-0.3167,102.35,88.92,54,60,4.25,broken clouds
32,Berlevag,NO,70.8578,29.0864,42.75,81,75,10.36,light rain
33,Busselton,AU,-33.65,115.3333,61.48,65,8,10.67,clear sky
34,Semnan,IR,35.5729,53.3971,96.64,11,0,6.91,clear sky
35,Ruscova,RO,47.7883,24.2808,64.94,65,87,1.54,overcast clouds
36,Clyde River,CA,70.4692,-68.5914,34.03,93,75,2.3,broken clouds
37,Kralendijk,BQ,12.15,-68.2667,80.58,83,40,11.5,scattered clouds
38,Cape Town,ZA,-33.9258,18.4232,55.11,90,75,3.0,moderate rain
39,Qaanaaq,GL,77.484,-69.3632,25.18,78,99,5.03,overcast clouds
40,Sangin,AF,32.0728,64.8359,105.51,5,0,7.74,clear sky
41,Alice Town,BS,25.7167,-79.3,83.17,73,31,9.82,scattered clouds
